UTC format,success percent,,,,,,,,,,,,,,,,,,,
"Date.UTC(2011,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1996,5,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2001,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1969,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1999,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2008,6,0)",0.911392405,,,,,,,,,,,,,,,,,,,
"Date.UTC(2001,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2001,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1994,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1997,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1946,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2009,10,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2009,4,0)",0.9,,,,,,,,,,,,,,,,,,,
"Date.UTC(1999,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2012,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2002,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1890,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1973,5,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1995,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1997,12,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2010,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1993,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1922,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2008,7,0)",0.916666667,,,,,,,,,,,,,,,,,,,
"Date.UTC(1993,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1988,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2002,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1947,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2011,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2011,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1990,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2013,4,0)",0.666666667,,,,,,,,,,,,,,,,,,,
"Date.UTC(1996,12,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2012,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1996,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1996,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1992,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2009,6,0)",0.958333333,,,,,,,,,,,,,,,,,,,
"Date.UTC(1975,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1997,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2010,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1980,12,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1996,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1978,10,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1840,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1967,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2001,12,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2009,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2009,2,0)",0.96,,,,,,,,,,,,,,,,,,,
"Date.UTC(1920,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1990,10,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2010,6,0)",0.666666667,,,,,,,,,,,,,,,,,,,
"Date.UTC(1903,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1989,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1991,6,0)",1,,,,,,,,,,,,,,,,,,,
