Document Index (generated),Category Code,Number Of Employees,Acquired,Competitors,No of Investors,State Code,Blog Url,Homepage Url,Money
675,web,37,0,0,5,CA,1,1,17.9
676,games_video,4,0,0,2,NY,1,1,0
677,ecommerce,0,0,0,3,CA,0,1,0
679,web,0,0,0,1,OR,1,1,0
681,web,0,0,0,1,NJ,0,1,0
683,network_hosting,0,0,0,1,CA,0,1,0
684,web,2,0,3,1,CA,1,1,0
685,web,12,1,0,2,CA,0,1,4
686,mobile,0,1,0,8,MA,1,1,9.65
688,web,25,1,2,1,NY,1,1,0.25
689,network_hosting,0,0,0,1,CA,1,1,0.65
690,web,0,0,0,1,CA,1,1,0.2
691,games_video,0,0,0,4,NY,1,1,16
692,web,0,1,0,6,CA,1,1,16.8
693,sports,0,0,0,3,CA,0,1,1.01
694,web,73,0,8,10,CA,1,1,22.1
695,web,0,1,2,1,CA,0,1,0
696,web,0,0,0,1,CA,0,1,0
697,biotech,80,0,4,19,CA,1,1,161
698,advertising,0,0,7,28,CA,1,1,72.9
700,biotech,0,0,0,1,CA,0,1,0
701,advertising,33,1,0,9,WA,1,1,17.8
702,mobile,0,0,2,1,WA,1,1,2.55
703,enterprise,0,1,5,5,VA,1,1,35.8
704,web,0,0,0,1,WA,1,1,0
705,ecommerce,150,0,3,7,CA,1,1,21.6
706,web,0,0,0,1,CA,0,1,0
707,cleantech,150,1,0,30,CA,0,1,109
708,web,200,0,16,11,CA,0,1,30.6
709,network_hosting,0,0,0,13,OR,0,1,3.4
710,web,0,1,2,1,MA,1,1,4
712,web,0,1,4,21,NY,1,1,125
713,web,0,0,0,1,NY,0,1,0
714,advertising,0,1,3,12,CA,0,1,24
715,mobile,0,1,0,20,CA,1,1,65
716,web,0,1,3,1,WA,1,1,0
717,games_video,15,0,0,2,CA,0,1,8.3
718,software,120,0,0,10,MA,1,1,37.8
721,other,200,0,5,8,NY,1,1,14
723,enterprise,166,0,0,3,CA,1,1,10
725,software,65,1,0,14,MD,1,1,24.5
726,web,100,1,3,2,CA,1,1,8.5
728,web,0,0,0,1,CA,0,1,0
729,mobile,0,0,0,5,CO,0,1,12
730,web,0,0,0,1,NY,1,1,0
732,web,3,0,12,1,CA,0,1,0
734,enterprise,0,1,4,1,CA,0,1,0.3
735,web,6,0,0,1,PA,1,1,0
737,advertising,85,0,0,1,MN,1,1,0
738,education,0,1,0,1,CA,0,1,0.2
739,advertising,2,0,0,2,CA,0,1,4.3
740,advertising,100,0,0,22,CA,1,1,55.8
741,ecommerce,7,1,3,5,MA,1,1,3.5
743,games_video,0,1,0,1,CA,1,1,20
744,games_video,0,0,7,1,NY,1,1,0
